patch,championId,championName,games,wins,win_rate,pick_rate,ban_rate
15.11,99,Lux,7,4,57.14,25.926,25.926
15.11,235,Senna,7,3,42.86,25.926,7.407
15.11,236,Lucian,5,4,80.0,18.519,11.111
15.11,234,Viego,5,4,80.0,18.519,0.0
15.11,8,Vladimir,5,2,40.0,18.519,7.407
15.11,157,Yasuo,5,3,60.0,18.519,11.111
15.11,22,Ashe,4,0,0.0,14.815,0.0
15.11,150,Gnar,4,2,50.0,14.815,0.0
15.11,910,Hwei,4,2,50.0,14.815,3.704
15.11,222,Jinx,4,2,50.0,14.815,18.519
15.11,64,LeeSin,4,0,0.0,14.815,0.0
15.11,267,Nami,4,3,75.0,14.815,3.704
15.11,75,Nasus,4,1,25.0,14.815,7.407
15.11,875,Sett,4,2,50.0,14.815,7.407
15.11,18,Tristana,4,2,50.0,14.815,3.704
15.11,711,Vex,4,2,50.0,14.815,0.0
15.11,83,Yorick,4,4,100.0,14.815,14.815
15.11,53,Blitzcrank,3,1,33.33,11.111,25.926
15.11,201,Braum,3,1,33.33,11.111,3.704
15.11,233,Briar,3,1,33.33,11.111,7.407
15.11,51,Caitlyn,3,2,66.67,11.111,25.926
15.11,131,Diana,3,1,33.33,11.111,14.815
15.11,36,DrMundo,3,1,33.33,11.111,14.815
15.11,119,Draven,3,1,33.33,11.111,7.407
15.11,245,Ekko,3,2,66.67,11.111,3.704
15.11,60,Elise,3,3,100.0,11.111,3.704
15.11,104,Graves,3,2,66.67,11.111,7.407
15.11,202,Jhin,3,1,33.33,11.111,7.407
15.11,121,Khazix,3,1,33.33,11.111,0.0
15.11,117,Lulu,3,3,100.0,11.111,0.0
15.11,800,Mel,3,1,33.33,11.111,44.444
15.11,25,Morgana,3,2,66.67,11.111,29.63
15.11,56,Nocturne,3,1,33.33,11.111,18.519
15.11,61,Orianna,3,1,33.33,11.111,0.0
15.11,147,Seraphine,3,2,66.67,11.111,0.0
15.11,14,Sion,3,2,66.67,11.111,0.0
15.11,15,Sivir,3,0,0.0,11.111,7.407
15.11,37,Sona,3,1,33.33,11.111,0.0
15.11,50,Swain,3,0,0.0,11.111,3.704
15.11,17,Teemo,3,3,100.0,11.111,18.519
15.11,110,Varus,3,2,66.67,11.111,0.0
15.11,106,Volibear,3,2,66.67,11.111,14.815
15.11,101,Xerath,3,2,66.67,11.111,7.407
15.11,238,Zed,3,3,100.0,11.111,14.815
15.11,34,Anivia,2,1,50.0,7.407,0.0
15.11,122,Darius,2,2,100.0,7.407,22.222
15.11,28,Evelynn,2,1,50.0,7.407,7.407
15.11,81,Ezreal,2,2,100.0,7.407,3.704
15.11,3,Galio,2,1,50.0,7.407,3.704
15.11,887,Gwen,2,1,50.0,7.407,3.704
15.11,120,Hecarim,2,1,50.0,7.407,3.704
15.11,74,Heimerdinger,2,0,0.0,7.407,3.704
15.11,420,Illaoi,2,2,100.0,7.407,14.815
15.11,126,Jayce,2,2,100.0,7.407,0.0
15.11,145,Kaisa,2,2,100.0,7.407,0.0
15.11,30,Karthus,2,0,0.0,7.407,0.0
